query_id,category,query,method,method_display,Precision@5,Recall@10,MRR@10,nDCG@10,relevant_judgments,strong_judgments,top_result_id,top_result_label,top10_relevant_hits,top10_strong_hits
AS06,action_situation,a family leaves home after losing everything in a disaster,hybrid_rrf,Hybrid RRF,0.8000,0.2432,1.0000,0.5013,37,2,7956-8_chunk_000204,1,9,0
AS07,action_situation,"during a retreat, several soldiers refuse to abandon their wounded companions and struggle to carry them away before the enemy arrives",bm25,BM25,1.0000,0.2273,1.0000,0.8126,44,1,44256-8_chunk_000210,1,10,1
AS07,action_situation,"during a retreat, several soldiers refuse to abandon their wounded companions and struggle to carry them away before the enemy arrives",dense_flat,Dense FAISS Flat,1.0000,0.2045,1.0000,0.6484,44,1,65654-0_chunk_000245,1,9,0
AS07,action_situation,"during a retreat, several soldiers refuse to abandon their wounded companions and struggle to carry them away before the enemy arrives",dense_ann,Dense FAISS ANN,1.0000,0.1818,1.0000,0.5939,44,1,65654-0_chunk_000245,1,8,0
AS07,action_situation,"during a retreat, several soldiers refuse to abandon their wounded companions and struggle to carry them away before the enemy arrives",hybrid_rrf,Hybrid RRF,1.0000,0.2273,1.0000,0.6944,44,1,18989-8_chunk_000076,1,10,0
AS08,action_situation,two rival political groups meet in secret and decide to work together against a threat that neither side can defeat alone,bm25,BM25,1.0000,0.2250,1.0000,0.9266,40,0,35530-8_chunk_000018,1,9,0
AS08,action_situation,two rival political groups meet in secret and decide to work together against a threat that neither side can defeat alone,dense_flat,Dense FAISS Flat,1.0000,0.2500,1.0000,1.0000,40,0,22135-8_chunk_000023,1,10,0
AS08,action_situation,two rival political groups meet in secret and decide to work together against a threat that neither side can defeat alone,dense_ann,Dense FAISS ANN,1.0000,0.2500,1.0000,1.0000,40,0,22135-8_chunk_000023,1,10,0
AS08,action_situation,two rival political groups meet in secret and decide to work together against a threat that neither side can defeat alone,hybrid_rrf,Hybrid RRF,1.0000,0.2500,1.0000,1.0000,40,0,19104-0_chunk_000251,1,10,0
AT01,atmosphere,haunted castle at night,bm25,BM25,0.8000,0.2195,0.5000,0.4843,41,8,26950-8_chunk_000130,0,9,3
AT01,atmosphere,haunted castle at night,dense_flat,Dense FAISS Flat,1.0000,0.2439,1.0000,0.6779,41,8,41259-0_chunk_000005,1,10,4
AT01,atmosphere,haunted castle at night,dense_ann,Dense FAISS ANN,1.0000,0.2439,1.0000,0.6779,41,8,41259-0_chunk_000005,1,10,4
AT01,atmosphere,haunted castle at night,hybrid_rrf,Hybrid RRF,1.0000,0.2439,1.0000,0.4663,41,8,41259-0_chunk_000005,1,10,1
AT02,atmosphere,sunny peaceful countryside,bm25,BM25,0.8000,0.1860,1.0000,0.4556,43,2,49283-8_chunk_000049,1,8,0
AT02,atmosphere,sunny peaceful countryside,dense_flat,Dense FAISS Flat,1.0000,0.2326,1.0000,0.6592,43,2,60485-0_chunk_000495,1,10,1
AT02,atmosphere,sunny peaceful countryside,dense_ann,Dense FAISS ANN,1.0000,0.2326,1.0000,0.6675,43,2,60485-0_chunk_000495,1,10,1
AT02,atmosphere,sunny peaceful countryside,hybrid_rrf,Hybrid RRF,0.8000,0.2093,1.0000,0.5325,43,2,43404-8_chunk_000000,1,9,0
AT03,atmosphere,a foggy harbor before dawn with a secretive mood,bm25,BM25,0.8000,0.1915,0.5000,0.7799,47,0,29456-8_chunk_000018,0,9,0
AT03,atmosphere,a foggy harbor before dawn with a secretive mood,dense_flat,Dense FAISS Flat,0.8000,0.1915,1.0000,0.9149,47,0,61388-0_chunk_000003,1,9,0
AT03,atmosphere,a foggy harbor before dawn with a secretive mood,dense_ann,Dense FAISS ANN,1.0000,0.2128,1.0000,1.0000,47,0,44535-0_chunk_000063,1,10,0
AT03,atmosphere,a foggy harbor before dawn with a secretive mood,hybrid_rrf,Hybrid RRF,0.8000,0.1915,1.0000,0.8611,47,0,36789-8_chunk_000183,1,9,0
AT04,atmosphere,a cold mechanical city that feels empty and unnatural,bm25,BM25,1.0000,0.2083,1.0000,1.0000,48,0,11134-8_chunk_000066,1,10,0
AT04,atmosphere,a cold mechanical city that feels empty and unnatural,dense_flat,Dense FAISS Flat,0.8000,0.1875,1.0000,0.8611,48,0,33889-8_chunk_000059,1,9,0
AT04,atmosphere,a cold mechanical city that feels empty and unnatural,dense_ann,Dense FAISS ANN,0.8000,0.1875,1.0000,0.8611,48,0,33889-8_chunk_000059,1,9,0
AT04,atmosphere,a cold mechanical city that feels empty and unnatural,hybrid_rrf,Hybrid RRF,0.8000,0.1875,1.0000,0.9052,48,0,11134-8_chunk_000066,1,9,0
AT05,atmosphere,a warm kitchen on a winter morning that feels safe,bm25,BM25,1.0000,0.2439,1.0000,1.0000,41,0,36022-8_chunk_000141,1,10,0
AT05,atmosphere,a warm kitchen on a winter morning that feels safe,dense_flat,Dense FAISS Flat,1.0000,0.2195,1.0000,0.9266,41,0,40796-0_chunk_000017,1,9,0
AT05,atmosphere,a warm kitchen on a winter morning that feels safe,dense_ann,Dense FAISS ANN,1.0000,0.2439,1.0000,1.0000,41,0,40796-0_chunk_000017,1,10,0
AT05,atmosphere,a warm kitchen on a winter morning that feels safe,hybrid_rrf,Hybrid RRF,1.0000,0.2439,1.0000,1.0000,41,0,31217-8_chunk_000177,1,10,0
AT06,atmosphere,a quiet frontier town where everyone expects trouble,bm25,BM25,1.0000,0.2326,1.0000,1.0000,43,0,43904-0_chunk_000095,1,10,0
AT06,atmosphere,a quiet frontier town where everyone expects trouble,dense_flat,Dense FAISS Flat,1.0000,0.2326,1.0000,1.0000,43,0,32749-8_chunk_000030,1,10,0
AT06,atmosphere,a quiet frontier town where everyone expects trouble,dense_ann,Dense FAISS ANN,1.0000,0.2326,1.0000,1.0000,43,0,32749-8_chunk_000030,1,10,0
AT06,atmosphere,a quiet frontier town where everyone expects trouble,hybrid_rrf,Hybrid RRF,1.0000,0.2326,1.0000,1.0000,43,0,32749-8_chunk_000030,1,10,0
AT07,atmosphere,"an enchanted forest glows under the moon while distant music makes the place feel beautiful, magical, and slightly dangerous",bm25,BM25,1.0000,0.2128,1.0000,0.7129,47,4,47463-0_chunk_000141,1,10,3
AT07,atmosphere,"an enchanted forest glows under the moon while distant music makes the place feel beautiful, magical, and slightly dangerous",dense_flat,Dense FAISS Flat,1.0000,0.2128,1.0000,0.4700,47,4,33472-8_chunk_000026,1,10,0
AT07,atmosphere,"an enchanted forest glows under the moon while distant music makes the place feel beautiful, magical, and slightly dangerous",dense_ann,Dense FAISS ANN,1.0000,0.2128,1.0000,0.4700,47,4,33472-8_chunk_000026,1,10,0
AT07,atmosphere,"an enchanted forest glows under the moon while distant music makes the place feel beautiful, magical, and slightly dangerous",hybrid_rrf,Hybrid RRF,1.0000,0.2128,1.0000,0.7392,47,4,33940-8_chunk_000025,2,10,2
AT08,atmosphere,"rain falls over a crowded city at night, and the dim windows, narrow streets, and hurried strangers create a mood of suspicion",bm25,BM25,1.0000,0.2439,1.0000,0.6944,41,1,20745-8_chunk_000189,1,10,0
AT08,atmosphere,"rain falls over a crowded city at night, and the dim windows, narrow streets, and hurried strangers create a mood of suspicion",dense_flat,Dense FAISS Flat,0.8000,0.2195,0.5000,0.5415,41,1,57984-0_chunk_000004,0,9,0
AT08,atmosphere,"rain falls over a crowded city at night, and the dim windows, narrow streets, and hurried strangers create a mood of suspicion",dense_ann,Dense FAISS ANN,0.8000,0.2195,0.5000,0.5415,41,1,57984-0_chunk_000004,0,9,0
AT08,atmosphere,"rain falls over a crowded city at night, and the dim windows, narrow streets, and hurried strangers create a mood of suspicion",hybrid_rrf,Hybrid RRF,0.8000,0.2195,1.0000,0.6179,41,1,13695-0_chunk_000250,1,9,0
AW01,ambiguous_weak_evidence,something feels wrong,bm25,BM25,0.8000,0.2093,1.0000,0.4700,43,4,16185-8_chunk_000054,1,9,1
AW01,ambiguous_weak_evidence,something feels wrong,dense_flat,Dense FAISS Flat,1.0000,0.2326,1.0000,0.4700,43,4,51442-0_chunk_000060,1,10,0
AW01,ambiguous_weak_evidence,something feels wrong,dense_ann,Dense FAISS ANN,1.0000,0.2326,1.0000,0.5298,43,4,51442-0_chunk_000060,1,10,1
AW01,ambiguous_weak_evidence,something feels wrong,hybrid_rrf,Hybrid RRF,0.8000,0.2093,1.0000,0.4300,43,4,45895-8_chunk_000165,1,9,0
AW02,ambiguous_weak_evidence,the rules stop working,bm25,BM25,0.8000,0.1750,1.0000,0.6543,40,3,41902-8_chunk_000059,1,7,2
AW02,ambiguous_weak_evidence,the rules stop working,dense_flat,Dense FAISS Flat,0.8000,0.2000,1.0000,0.4316,40,3,39040-8_chunk_000000,1,8,0
AW02,ambiguous_weak_evidence,the rules stop working,dense_ann,Dense FAISS ANN,1.0000,0.2250,1.0000,0.4802,40,3,39040-8_chunk_000000,1,9,0
AW02,ambiguous_weak_evidence,the rules stop working,hybrid_rrf,Hybrid RRF,1.0000,0.2500,1.0000,0.6755,40,3,56134-0_chunk_000023,1,10,2
AW03,ambiguous_weak_evidence,someone realizes the room is not really empty,bm25,BM25,1.0000,0.2222,1.0000,0.6944,45,1,34552-8_chunk_000044,1,10,0
AW03,ambiguous_weak_evidence,someone realizes the room is not really empty,dense_flat,Dense FAISS Flat,1.0000,0.2222,1.0000,0.6944,45,1,2665-0_chunk_000208,1,10,0
AW03,ambiguous_weak_evidence,someone realizes the room is not really empty,dense_ann,Dense FAISS ANN,1.0000,0.2222,1.0000,0.6944,45,1,2665-0_chunk_000208,1,10,0
AW03,ambiguous_weak_evidence,someone realizes the room is not really empty,hybrid_rrf,Hybrid RRF,1.0000,0.2222,1.0000,0.6944,45,1,2665-0_chunk_000208,1,10,0
AW04,ambiguous_weak_evidence,a place feels familiar but also completely wrong,bm25,BM25,0.8000,0.1698,0.5000,0.4540,53,2,58534-8_chunk_000254,0,9,0
AW04,ambiguous_weak_evidence,a place feels familiar but also completely wrong,dense_flat,Dense FAISS Flat,1.0000,0.1887,1.0000,0.9375,53,2,37179-8_chunk_000036,2,10,2
AW04,ambiguous_weak_evidence,a place feels familiar but also completely wrong,dense_ann,Dense FAISS ANN,1.0000,0.1887,1.0000,0.9665,53,2,37179-8_chunk_000036,2,10,2
AW04,ambiguous_weak_evidence,a place feels familiar but also completely wrong,hybrid_rrf,Hybrid RRF,0.8000,0.1698,1.0000,0.7538,53,2,37179-8_chunk_000010,1,9,2
AW05,ambiguous_weak_evidence,a conversation seems to mean the opposite of its words,bm25,BM25,1.0000,0.2381,1.0000,0.5821,42,2,27250-8_chunk_000116,1,10,0
AW05,ambiguous_weak_evidence,a conversation seems to mean the opposite of its words,dense_flat,Dense FAISS Flat,1.0000,0.1905,1.0000,0.5031,42,2,39293-0_chunk_000151,1,8,0
AW05,ambiguous_weak_evidence,a conversation seems to mean the opposite of its words,dense_ann,Dense FAISS ANN,1.0000,0.2143,1.0000,0.5394,42,2,39293-0_chunk_000151,1,9,0
AW05,ambiguous_weak_evidence,a conversation seems to mean the opposite of its words,hybrid_rrf,Hybrid RRF,1.0000,0.2381,1.0000,0.7102,42,2,11945-0_chunk_000120,1,10,1
AW06,ambiguous_weak_evidence,the safest choice somehow feels like the most dangerous one,bm25,BM25,1.0000,0.1961,1.0000,0.7350,51,3,53571-0_chunk_000380,1,10,2
AW06,ambiguous_weak_evidence,the safest choice somehow feels like the most dangerous one,dense_flat,Dense FAISS Flat,1.0000,0.1961,1.0000,0.5969,51,3,47238-8_chunk_000024,1,10,1
AW06,ambiguous_weak_evidence,the safest choice somehow feels like the most dangerous one,dense_ann,Dense FAISS ANN,1.0000,0.1961,1.0000,0.5160,51,3,47238-8_chunk_000024,1,10,0
AW06,ambiguous_weak_evidence,the safest choice somehow feels like the most dangerous one,hybrid_rrf,Hybrid RRF,1.0000,0.1961,1.0000,0.6138,51,3,11153-8_chunk_000073,1,10,1
AW07,ambiguous_weak_evidence,"something important has disappeared, but nobody can agree on what is missing, whether it ever existed, or why its absence matters",bm25,BM25,1.0000,0.2000,1.0000,0.5917,40,1,28849-8_chunk_000079,1,8,0
AW07,ambiguous_weak_evidence,"something important has disappeared, but nobody can agree on what is missing, whether it ever existed, or why its absence matters",dense_flat,Dense FAISS Flat,0.8000,0.1750,0.5000,0.4464,40,1,55546-0_chunk_000003,0,7,0
AW07,ambiguous_weak_evidence,"something important has disappeared, but nobody can agree on what is missing, whether it ever existed, or why its absence matters",dense_ann,Dense FAISS ANN,0.6000,0.1750,0.5000,0.4315,40,1,55546-0_chunk_000003,0,7,0
AW07,ambiguous_weak_evidence,"something important has disappeared, but nobody can agree on what is missing, whether it ever existed, or why its absence matters",hybrid_rrf,Hybrid RRF,0.8000,0.2250,1.0000,0.6179,40,1,49182-0_chunk_000058,1,9,0
AW08,ambiguous_weak_evidence,"a character experiences a scene that could be a memory, a dream, a lie, or several of these at the same time",bm25,BM25,1.0000,0.2500,1.0000,0.4199,40,10,19549-8_chunk_000032,1,10,2
AW08,ambiguous_weak_evidence,"a character experiences a scene that could be a memory, a dream, a lie, or several of these at the same time",dense_flat,Dense FAISS Flat,1.0000,0.2500,1.0000,0.4220,40,10,43887-8_chunk_000071,1,10,2
AW08,ambiguous_weak_evidence,"a character experiences a scene that could be a memory, a dream, a lie, or several of these at the same time",dense_ann,Dense FAISS ANN,1.0000,0.2500,1.0000,0.3775,40,10,43887-8_chunk_000071,1,10,1
AW08,ambiguous_weak_evidence,"a character experiences a scene that could be a memory, a dream, a lie, or several of these at the same time",hybrid_rrf,Hybrid RRF,1.0000,0.2500,1.0000,0.4259,40,10,51442-0_chunk_000224,1,10,1
EK01,exact_keyword,red wax letter,bm25,BM25,0.8000,0.1667,0.5000,0.4871,48,1,23319-8_chunk_000117,0,8,0
EK01,exact_keyword,red wax letter,dense_flat,Dense FAISS Flat,0.6000,0.1458,1.0000,0.6008,48,1,37683-8_chunk_000684,1,7,1
EK01,exact_keyword,red wax letter,dense_ann,Dense FAISS ANN,0.8000,0.1875,1.0000,0.6352,48,1,37683-8_chunk_000684,1,9,0
EK01,exact_keyword,red wax letter,hybrid_rrf,Hybrid RRF,1.0000,0.1667,1.0000,0.7206,48,1,37683-8_chunk_000449,1,8,1
EK02,exact_keyword,silver key in snow,bm25,BM25,0.8000,0.1837,1.0000,0.8611,49,0,61172-8_chunk_000007,1,9,0
EK02,exact_keyword,silver key in snow,dense_flat,Dense FAISS Flat,1.0000,0.1837,1.0000,0.9306,49,0,48124-8_chunk_000047,1,9,0
EK02,exact_keyword,silver key in snow,dense_ann,Dense FAISS ANN,0.6000,0.1429,1.0000,0.6727,49,0,47583-0_chunk_000076,1,7,0
EK02,exact_keyword,silver key in snow,hybrid_rrf,Hybrid RRF,0.8000,0.1633,1.0000,0.7949,49,0,44186-0_chunk_000091,1,8,0
EK03,exact_keyword,a masked ball with a broken chandelier,bm25,BM25,1.0000,0.2083,1.0000,0.6983,48,6,56280-0_chunk_000336,2,10,3
EK03,exact_keyword,a masked ball with a broken chandelier,dense_flat,Dense FAISS Flat,0.6000,0.1042,1.0000,0.2398,48,6,45331-8_chunk_000158,1,5,0
EK03,exact_keyword,a masked ball with a broken chandelier,dense_ann,Dense FAISS ANN,0.8000,0.1875,1.0000,0.3727,48,6,65310-0_chunk_000213,1,9,0
EK03,exact_keyword,a masked ball with a broken chandelier,hybrid_rrf,Hybrid RRF,1.0000,0.1667,1.0000,0.4402,48,6,45331-8_chunk_000158,1,8,1
EK04,exact_keyword,a sailor hides a map inside a sea chest,bm25,BM25,1.0000,0.2308,1.0000,0.6502,39,1,40853-8_chunk_000058,1,9,0
EK04,exact_keyword,a sailor hides a map inside a sea chest,dense_flat,Dense FAISS Flat,0.6000,0.1538,0.5000,0.3665,39,1,39343-0_chunk_000357,0,6,0
EK04,exact_keyword,a sailor hides a map inside a sea chest,dense_ann,Dense FAISS ANN,0.4000,0.1538,0.5000,0.3484,39,1,39343-0_chunk_000357,0,6,0
EK04,exact_keyword,a sailor hides a map inside a sea chest,hybrid_rrf,Hybrid RRF,0.6000,0.2051,0.5000,0.4824,39,1,39343-0_chunk_000357,0,8,0
EK05,exact_keyword,a black horse waits outside an inn during a storm,bm25,BM25,0.8000,0.2093,1.0000,0.9342,43,1,41296-8_chunk_000318,2,9,1
EK05,exact_keyword,a black horse waits outside an inn during a storm,dense_flat,Dense FAISS Flat,1.0000,0.2093,1.0000,0.6434,43,1,6111-0_chunk_000095,1,9,0
EK05,exact_keyword,a black horse waits outside an inn during a storm,dense_ann,Dense FAISS ANN,0.8000,0.2093,1.0000,0.6352,43,1,17613-0_chunk_000131,1,9,0
EK05,exact_keyword,a black horse waits outside an inn during a storm,hybrid_rrf,Hybrid RRF,1.0000,0.2093,1.0000,0.9491,43,1,41296-8_chunk_000318,2,9,1
EK06,exact_keyword,a brass machine has three levers and a green dial,bm25,BM25,1.0000,0.2857,1.0000,0.7588,35,2,11735-8_chunk_000026,1,10,2
EK06,exact_keyword,a brass machine has three levers and a green dial,dense_flat,Dense FAISS Flat,0.8000,0.2286,1.0000,0.4627,35,2,40175-8_chunk_000106,1,8,0
EK06,exact_keyword,a brass machine has three levers and a green dial,dense_ann,Dense FAISS ANN,0.8000,0.2286,1.0000,0.4627,35,2,40175-8_chunk_000106,1,8,0
EK06,exact_keyword,a brass machine has three levers and a green dial,hybrid_rrf,Hybrid RRF,0.8000,0.2571,1.0000,0.6932,35,2,48575-0_chunk_000054,1,9,2
EK07,exact_keyword,"a governess finds a locked nursery with a torn blue curtain, a cracked mirror, and a portrait facing the wall",bm25,BM25,0.6000,0.1707,1.0000,0.7506,41,0,34156-8_chunk_000085,1,7,0
EK07,exact_keyword,"a governess finds a locked nursery with a torn blue curtain, a cracked mirror, and a portrait facing the wall",dense_flat,Dense FAISS Flat,0.8000,0.2195,1.0000,0.9149,41,0,1667-0_chunk_000025,1,9,0
EK07,exact_keyword,"a governess finds a locked nursery with a torn blue curtain, a cracked mirror, and a portrait facing the wall",dense_ann,Dense FAISS ANN,1.0000,0.2439,1.0000,1.0000,41,0,1667-0_chunk_000025,1,10,0
EK07,exact_keyword,"a governess finds a locked nursery with a torn blue curtain, a cracked mirror, and a portrait facing the wall",hybrid_rrf,Hybrid RRF,0.8000,0.1951,0.5000,0.7137,41,0,12963-8_chunk_000170,0,8,0
EK08,exact_keyword,"a shipwreck survivor finds a brass lantern, a red scarf, and a damaged journal among the rocks at low tide",bm25,BM25,0.8000,0.2000,1.0000,0.5670,40,1,12051-8_chunk_000119,1,8,0
EK08,exact_keyword,"a shipwreck survivor finds a brass lantern, a red scarf, and a damaged journal among the rocks at low tide",dense_flat,Dense FAISS Flat,1.0000,0.2000,1.0000,0.7970,40,1,62375-0_chunk_000011,1,8,1
EK08,exact_keyword,"a shipwreck survivor finds a brass lantern, a red scarf, and a damaged journal among the rocks at low tide",dense_ann,Dense FAISS ANN,1.0000,0.2250,1.0000,0.8363,40,1,62375-0_chunk_000011,1,9,1
EK08,exact_keyword,"a shipwreck survivor finds a brass lantern, a red scarf, and a damaged journal among the rocks at low tide",hybrid_rrf,Hybrid RRF,1.0000,0.2250,1.0000,0.7927,40,1,12051-8_chunk_000119,1,9,1
EM01,emotion_mood,guilt after betrayal,bm25,BM25,1.0000,0.2083,1.0000,0.6465,48,17,54291-8_chunk_000079,2,10,4
EM01,emotion_mood,guilt after betrayal,dense_flat,Dense FAISS Flat,1.0000,0.2083,1.0000,0.5581,48,17,45895-8_chunk_000329,1,10,4
EM01,emotion_mood,guilt after betrayal,dense_ann,Dense FAISS ANN,1.0000,0.2083,1.0000,0.5548,48,17,45895-8_chunk_000329,1,10,4
EM01,emotion_mood,guilt after betrayal,hybrid_rrf,Hybrid RRF,1.0000,0.2083,1.0000,0.5731,48,17,54291-8_chunk_000077,1,10,4
EM02,emotion_mood,lonely in a crowd,bm25,BM25,1.0000,0.1754,1.0000,0.5160,57,3,45366-8_chunk_000182,1,10,0
EM02,emotion_mood,lonely in a crowd,dense_flat,Dense FAISS Flat,1.0000,0.1754,1.0000,0.7431,57,3,38302-8_chunk_000000,2,10,1
EM02,emotion_mood,lonely in a crowd,dense_ann,Dense FAISS ANN,1.0000,0.1754,1.0000,0.5160,57,3,10456-8_chunk_000179,1,10,0
EM02,emotion_mood,lonely in a crowd,hybrid_rrf,Hybrid RRF,1.0000,0.1754,1.0000,0.7431,57,3,38302-8_chunk_000000,2,10,1
EM03,emotion_mood,someone hides their fear and tries to look brave,bm25,BM25,1.0000,0.1754,1.0000,0.6189,57,12,29861-8_chunk_000114,2,10,3
EM03,emotion_mood,someone hides their fear and tries to look brave,dense_flat,Dense FAISS Flat,1.0000,0.1754,1.0000,0.5124,57,12,14589-8_chunk_000128,1,10,3
EM03,emotion_mood,someone hides their fear and tries to look brave,dense_ann,Dense FAISS ANN,1.0000,0.1754,1.0000,0.3757,57,12,20131-8_chunk_000045,1,10,1
EM03,emotion_mood,someone hides their fear and tries to look brave,hybrid_rrf,Hybrid RRF,1.0000,0.1754,1.0000,0.7049,57,12,46952-0_chunk_000015,2,10,5
EM04,emotion_mood,a character feels numb after surviving a violent battle,bm25,BM25,1.0000,0.2250,1.0000,0.6502,40,1,45368-0_chunk_000347,1,9,0
EM04,emotion_mood,a character feels numb after surviving a violent battle,dense_flat,Dense FAISS Flat,1.0000,0.2500,1.0000,0.8126,40,1,34440-8_chunk_000126,1,10,1
EM04,emotion_mood,a character feels numb after surviving a violent battle,dense_ann,Dense FAISS ANN,1.0000,0.2500,1.0000,0.8126,40,1,34440-8_chunk_000126,1,10,1
EM04,emotion_mood,a character feels numb after surviving a violent battle,hybrid_rrf,Hybrid RRF,1.0000,0.2500,1.0000,0.7827,40,1,28277-8_chunk_000000,1,10,1
EM05,emotion_mood,jealousy grows during a conversation that seems friendly,bm25,BM25,1.0000,0.2273,1.0000,0.4074,44,6,55330-0_chunk_000516,1,10,0
EM05,emotion_mood,jealousy grows during a conversation that seems friendly,dense_flat,Dense FAISS Flat,1.0000,0.2273,1.0000,0.6506,44,6,23609-8_chunk_000116,2,10,2
EM05,emotion_mood,jealousy grows during a conversation that seems friendly,dense_ann,Dense FAISS ANN,1.0000,0.2273,1.0000,0.6506,44,6,23609-8_chunk_000116,2,10,2
EM05,emotion_mood,jealousy grows during a conversation that seems friendly,hybrid_rrf,Hybrid RRF,1.0000,0.2273,1.0000,0.5867,44,6,23609-8_chunk_000116,2,10,1
EM06,emotion_mood,hope slowly returns after a long period of despair,bm25,BM25,1.0000,0.2273,1.0000,0.5859,44,14,59553-8_chunk_000595,1,10,4
EM06,emotion_mood,hope slowly returns after a long period of despair,dense_flat,Dense FAISS Flat,1.0000,0.2273,1.0000,0.4977,44,14,30061-8_chunk_000035,1,10,3
EM06,emotion_mood,hope slowly returns after a long period of despair,dense_ann,Dense FAISS ANN,1.0000,0.2273,1.0000,0.4635,44,14,30061-8_chunk_000035,1,10,2
EM06,emotion_mood,hope slowly returns after a long period of despair,hybrid_rrf,Hybrid RRF,1.0000,0.2273,1.0000,0.4853,44,14,30326-8_chunk_000109,1,10,3
EM07,emotion_mood,someone is happy to be loved but terrified that admitting their feelings will destroy the friendship they already have,bm25,BM25,1.0000,0.2500,1.0000,0.5821,40,2,17801-8_chunk_000054,1,10,0
EM07,emotion_mood,someone is happy to be loved but terrified that admitting their feelings will destroy the friendship they already have,dense_flat,Dense FAISS Flat,1.0000,0.2500,1.0000,0.7438,40,2,20861-8_chunk_000008,1,10,1
EM07,emotion_mood,someone is happy to be loved but terrified that admitting their feelings will destroy the friendship they already have,dense_ann,Dense FAISS ANN,1.0000,0.2500,1.0000,0.7438,40,2,20861-8_chunk_000008,1,10,1
EM07,emotion_mood,someone is happy to be loved but terrified that admitting their feelings will destroy the friendship they already have,hybrid_rrf,Hybrid RRF,1.0000,0.2500,1.0000,0.6925,40,2,4593-0_chunk_000093,1,10,1
