query_id,category,query,failure_type,focus_method,focus_method_display,best_method,best_method_display,worst_method,worst_method_display,bm25_nDCG@10,dense_flat_nDCG@10,dense_ann_nDCG@10,hybrid_rrf_nDCG@10,top_result_id,top_result_label,top_result_evidence
EK08,exact_keyword,"a shipwreck survivor finds a brass lantern, a red scarf, and a damaged journal among the rocks at low tide",bm25_lags_semantic_baseline,bm25,BM25,dense_ann,Dense FAISS ANN,bm25,BM25,0.5670,0.7970,0.8363,0.7927,12051-8_chunk_000119,1,"The surf had thrown here and there among the rocks, then uncovered by the ebb-tide, a great quantity of objects."
EM02,emotion_mood,lonely in a crowd,bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.5160,0.7431,0.5160,0.7431,45366-8_chunk_000182,1,"How from his soul he must have spurned the ignorant mass who came to look at him in the cell which he had dug in the earth, and which seems to have been but little larger than a common grave!"
EM04,emotion_mood,a character feels numb after surviving a violent battle,bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.6502,0.8126,0.8126,0.7827,45368-0_chunk_000347,1,"There was no such process of assimilation as had been practised in Italy; Sicily became a conquered province, paying tribute and yielding profit like the provinces of the older empires."
EM05,emotion_mood,jealousy grows during a conversation that seems friendly,bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.4074,0.6506,0.6506,0.5867,55330-0_chunk_000516,1,"Later, after the publication of the scandal, Mr. Beecher explained to both Drs. Storrs and Budington the reason for his silence, which explanation they then professed to accept as satisfactory.[12]"
EM06,emotion_mood,hope slowly returns after a long period of despair,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_ann,Dense FAISS ANN,0.5859,0.4977,0.4635,0.4853,30326-8_chunk_000109,1,Here is a story which has much occupied my thoughts lately.
EM07,emotion_mood,someone is happy to be loved but terrified that admitting their feelings will destroy the friendship they already have,bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.5821,0.7438,0.7438,0.6925,17801-8_chunk_000054,1,"But I have seen his face light up as he met my dear girl at these times, and I have noticed a certain softening of his voice as he talked to her, that I never heard on other occasions. And she? About her feelings I had much less doubt. She tried her uttermost to hide the truth from me, ashamed of her regard for one who had never yet professed to be more than a friend; but I knew that she loved him."
SS01,semantic_scene,rivals become allies,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_flat,Dense FAISS Flat,0.4871,0.4074,0.4592,0.4074,43598-8_chunk_000229,1,There was no denial of this by those who treated of public affairs.
SS02,semantic_scene,homecoming changes everything,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,bm25,BM25,dense_ann,Dense FAISS ANN,0.5844,0.4781,0.4721,0.5160,34156-8_chunk_000041,1,"But a voice within him said, 'Keep quiet. Don't embitter this hour of homecoming.'"
SS04,semantic_scene,an investigator starts doubting a witness they used to trust,bm25_lags_semantic_baseline,bm25,BM25,hybrid_rrf,Hybrid RRF,bm25,BM25,0.7779,0.9364,0.9337,1.0000,36506-8_chunk_000184,1,"March 18, 1912. 4.40 P. M. Investigator was solicited on 37th Street between Seventh and Eighth Avenues to enter premises. Price 50 cents."
SS05,semantic_scene,a young person leaves home and learns to make independent decisions,hybrid_low_absolute_quality,hybrid_rrf,Hybrid RRF,dense_ann,Dense FAISS ANN,bm25,BM25,0.3456,0.3844,0.4887,0.3902,38194-8_chunk_000737,1,"In the course of his travels, he generally acquires some knowledge of one or two foreign languages; a knowledge, however, which is seldom sufficient to enable him either to speak or write them with propriety."
SS07,semantic_scene,"two people finally understand that years of pride and misunderstanding kept them apart, and they decide to repair their relationship",bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.4024,0.7431,0.7431,0.6715,41584-0_chunk_000125,0,"This passage does not contain any direct references to people understanding each other, pride, misunderstandings, or repairing relationships. It discusses religious duties and responsibilities of God's children."
SS08,semantic_scene,a ruler chooses to forgive a defeated enemy because continuing the conflict would cause more suffering for innocent people,bm25_lags_semantic_baseline,bm25,BM25,dense_flat,Dense FAISS Flat,bm25,BM25,0.6434,0.8260,0.6944,0.7962,54460-0_chunk_000446,1,"DR. KAUFFMANN: Did you know that your activity, too, could bring suffering to many people, to people who were per se innocent?"
